gene	individual	counts	tissue	sex	path
_scaffold_1_000341.1	indv_1	600	flowers	male	rddm
_scaffold_1_003834.1	indv_1	2526	flowers	male	rddm
_scaffold_1_000343.1	indv_1	2064	flowers	male	rddm
_scaffold_1_000347.1	indv_1	120	flowers	male	rddm
_scaffold_1_000348.1	indv_1	72	flowers	male	rddm
_scaffold_1_003831.1	indv_1	0	flowers	male	rddm
_scaffold_1_003818.1	indv_1	96	flowers	male	rddm
_scaffold_1_000361.1	indv_1	72	flowers	male	rddm
_scaffold_1_003816.1	indv_1	1392	flowers	male	rddm
_scaffold_1_003815.1	indv_1	1920	flowers	male	rddm
_scaffold_1_000362.1	indv_1	24	flowers	male	rddm
_scaffold_1_000369.1	indv_1	2640	flowers	male	rddm
_scaffold_1_003810.1	indv_1	264	flowers	male	rddm
_scaffold_1_003809.1	indv_1	240	flowers	male	rddm
_scaffold_1_003808.1	indv_1	216	flowers	male	rddm
_scaffold_1_003806.1	indv_1	216	flowers	male	rddm
_scaffold_1_000372.1	indv_1	996	flowers	male	rddm
_scaffold_1_000373.1	indv_1	96	flowers	male	rddm
_scaffold_1_000374.1	indv_1	720	flowers	male	rddm
_scaffold_1_000375.1	indv_1	2592	flowers	male	rddm
_scaffold_1_000376.1	indv_1	1680	flowers	male	rddm
_scaffold_1_000377.1	indv_1	528	flowers	male	rddm
_scaffold_1_003804.1	indv_1	168	flowers	male	rddm
_scaffold_1_000385.1	indv_1	408	flowers	male	rddm
_scaffold_1_003800.1	indv_1	2712	flowers	male	rddm
_scaffold_1_000386.1	indv_1	600	flowers	male	rddm
_scaffold_1_003795.1	indv_1	672	flowers	male	rddm
_scaffold_1_000394.1	indv_1	72	flowers	male	rddm
_scaffold_1_000395.1	indv_1	1128	flowers	male	rddm
_scaffold_1_000396.1	indv_1	240	flowers	male	rddm
_scaffold_1_003793.1	indv_1	1680	flowers	male	rddm
_scaffold_1_000398.1	indv_1	1704	flowers	male	rddm
_scaffold_1_000399.1	indv_1	1680	flowers	male	rddm
_scaffold_1_003792.1	indv_1	1556	flowers	male	rddm
_scaffold_1_003790.1	indv_1	1080	flowers	male	rddm
_scaffold_1_003787.1	indv_1	168	flowers	male	rddm
_scaffold_1_003782.1	indv_1	730	flowers	male	rddm
_scaffold_1_003775.1	indv_1	528	flowers	male	rddm
_scaffold_1_000402.1	indv_1	354	flowers	male	rddm
_scaffold_1_000403.1	indv_1	96	flowers	male	rddm
_scaffold_1_000407.1	indv_1	4536	flowers	male	rddm
_scaffold_1_000411.1	indv_1	3936	flowers	male	rddm
_scaffold_1_003770.1	indv_1	48	flowers	male	rddm
_scaffold_1_003769.1	indv_1	240	flowers	male	rddm
_scaffold_1_003766.1	indv_1	144	flowers	male	rddm
_scaffold_1_003764.1	indv_1	5664	flowers	male	rddm
_scaffold_1_003763.1	indv_1	5352	flowers	male	rddm
_scaffold_1_003760.1	indv_1	66	flowers	male	rddm
_scaffold_1_003752.1	indv_1	168	flowers	male	rddm
_scaffold_1_000414.1	indv_1	4272	flowers	male	rddm
_scaffold_1_003749.1	indv_1	1104	flowers	male	rddm
_scaffold_1_003748.1	indv_1	1152	flowers	male	rddm
_scaffold_1_003741.1	indv_1	432	flowers	male	rddm
_scaffold_1_003735.1	indv_1	264	flowers	male	rddm
_scaffold_1_003734.1	indv_1	696	flowers	male	rddm
_scaffold_1_003733.1	indv_1	288	flowers	male	rddm
_scaffold_1_003732.1	indv_1	120	flowers	male	rddm
_scaffold_1_000446.1	indv_1	1392	flowers	male	rddm
_scaffold_1_003721.1	indv_1	48	flowers	male	rddm
_scaffold_1_003717.1	indv_1	1320	flowers	male	rddm
_scaffold_1_003706.1	indv_1	657	flowers	male	rddm
_scaffold_1_003705.1	indv_1	96	flowers	male	rddm
_scaffold_1_003704.1	indv_1	0	flowers	male	rddm
_scaffold_1_003700.1	indv_1	192	flowers	male	rddm
_scaffold_1_000467.1	indv_1	1992	flowers	male	rddm
_scaffold_1_000468.1	indv_1	840	flowers	male	rddm
_scaffold_1_000469.1	indv_1	360	flowers	male	rddm
_scaffold_1_003698.1	indv_1	744	flowers	male	rddm
_scaffold_1_000472.1	indv_1	3024	flowers	male	rddm
_scaffold_1_003688.1	indv_1	3336	flowers	male	rddm
_scaffold_1_000497.1	indv_1	1920	flowers	male	rddm
_scaffold_1_000511.1	indv_1	624	flowers	male	rddm
_scaffold_1_000512.1	indv_1	624	flowers	male	rddm
_scaffold_1_003681.1	indv_1	1752	flowers	male	rddm
_scaffold_1_000522.1	indv_1	0	flowers	male	rddm
_scaffold_1_000523.1	indv_1	68	flowers	male	rddm
_scaffold_1_000528.1	indv_1	1560	flowers	male	rddm
_scaffold_1_003666.1	indv_1	1824	flowers	male	rddm
_scaffold_1_003662.1	indv_1	2688	flowers	male	rddm
_scaffold_1_003658.1	indv_1	96	flowers	male	rddm
_scaffold_1_003653.1	indv_1	648	flowers	male	rddm
_scaffold_1_003646.1	indv_1	1320	flowers	male	rddm
_scaffold_1_000535.1	indv_1	2280	flowers	male	rddm
_scaffold_1_003645.1	indv_1	3936	flowers	male	rddm
_scaffold_1_000537.1	indv_1	1512	flowers	male	rddm
_scaffold_1_000541.1	indv_1	3264	flowers	male	rddm
_scaffold_1_003637.1	indv_1	5208	flowers	male	rddm
_scaffold_1_003630.1	indv_1	840	flowers	male	rddm
_scaffold_1_000556.1	indv_1	240	flowers	male	rddm
_scaffold_1_000558.1	indv_1	2352	flowers	male	rddm
_scaffold_1_000560.1	indv_1	4272	flowers	male	rddm
_scaffold_1_003616.1	indv_1	168	flowers	male	rddm
_scaffold_1_000561.1	indv_1	168	flowers	male	rddm
_scaffold_1_003615.1	indv_1	1608	flowers	male	rddm
_scaffold_1_000562.1	indv_1	48	flowers	male	rddm
_scaffold_1_003612.1	indv_1	120	flowers	male	rddm
_scaffold_1_000568.1	indv_1	216	flowers	male	rddm
_scaffold_1_000569.1	indv_1	2328	flowers	male	rddm
_scaffold_1_000570.1	indv_1	864	flowers	male	rddm
_scaffold_1_000571.1	indv_1	864	flowers	male	rddm
_scaffold_1_003606.1	indv_1	2928	flowers	male	rddm
_scaffold_1_000574.1	indv_1	2160	flowers	male	rddm
_scaffold_1_003605.1	indv_1	2976	flowers	male	rddm
_scaffold_1_003604.1	indv_1	360	flowers	male	rddm
_scaffold_1_003603.1	indv_1	360	flowers	male	rddm
_scaffold_1_000587.1	indv_1	144	flowers	male	rddm
_scaffold_1_000590.1	indv_1	1080	flowers	male	rddm
_scaffold_1_003596.1	indv_1	1200	flowers	male	rddm
_scaffold_1_003590.1	indv_1	1909	flowers	male	rddm
_scaffold_1_000593.1	indv_1	1104	flowers	male	rddm
